2021,,,,,
,,,,,
Applicants,,2018-2019,2019-2020,2020-2021,2021-2022
MCAT CPBS,Mean,126.3,126.4,126.5,126.3
,SD,2.7,2.8,2.8,2.9
MCAT CARS,Mean,125.9,125.9,125.9,125.7
,SD,2.7,2.7,2.7,2.8
MCAT BBLS,Mean,126.6,126.7,126.8,126.7
,SD,2.7,2.7,2.7,2.8
MCAT PSBB,Mean,126.8,127.1,127.2,127.3
,SD,2.7,2.7,2.7,2.8
Total MCAT,Mean,505.6,506.1,506.4,505.9
,SD,9.3,9.3,9.2,9.7
GPA Science,Mean,3.47,3.48,3.49,3.48
,SD,0.43,0.43,0.42,0.44
GPA Non-Science,Mean,3.71,3.72,3.74,3.74
,SD,0.28,0.28,0.28,0.28
GPA Total,Mean,3.57,3.58,3.6,3.59
,SD,0.34,0.33,0.33,0.34
Total Applicants   ,        ,"52,777","53,370","53,030","62,443"
,,,,,
Matriculants, ,2018-2019,2019-2020,2020-2021,2021-2022
MCAT CPBS,Mean,127.7,127.8,127.8,127.9
,SD,2.1,2.2,2.2,2.2
MCAT CARS,Mean,127.1,127.1,127,127.0
,SD,2.3,2.3,2.3,2.3
MCAT BBLS,Mean,128,128.1,128.1,128.2
,SD,2.1,2.1,2,2.1
MCAT PSBB,Mean,128.3,128.5,128.6,128.8
,SD,2.1,2,2,2.0
Total MCAT,Mean,511.2,511.5,511.5,511.9
,SD,6.5,6.5,6.5,6.6
GPA Science,Mean,3.65,3.66,3.66,3.67
,SD,0.3,0.3,0.31,0.31
GPA Non-Science,Mean,3.8,3.81,3.82,3.83
,SD,0.21,0.22,0.21,0.21
GPA Total,Mean,3.72,3.73,3.73,3.74
,SD,0.24,0.24,0.24,0.25
Total Matriculants,        ,"21,622","21,869","22,239","22,666"
